calDate	perNumber	start	stop
01/25/2016	4	11:34:00	12:25:00
01/25/2016	5	13:07:00	13:53:00
01/25/2016	6	14:00:00	14:46:00
01/25/2016	7	14:53:00	15:48:00
02/01/2016	0	07:30:00	08:30:00
02/01/2016	1	08:40:00	09:26:00
02/01/2016	2	09:33:00	10:19:00
02/01/2016	3	10:41:00	11:27:00
02/01/2016	4	11:34:00	12:25:00
02/01/2016	5	13:07:00	13:53:00
02/01/2016	6	14:00:00	14:46:00
02/01/2016	7	14:53:00	15:48:00
02/03/2016	0	06:28:00	07:33:00
02/03/2016	1	07:40:00	08:16:00
02/03/2016	2	08:23:00	09:02:00
02/03/2016	3	09:09:00	09:43:00
02/03/2016	4	10:05:00	10:39:00
02/03/2016	5	10:46:00	11:20:00
02/03/2016	6	11:27:00	12:01:00
02/08/2016	0	07:30:00	08:30:00
02/08/2016	1	08:40:00	09:26:00
02/08/2016	2	09:33:00	10:19:00
02/08/2016	3	10:41:00	11:27:00
02/08/2016	4	11:34:00	12:25:00
02/08/2016	5	13:07:00	13:53:00
02/08/2016	6	14:00:00	14:46:00
02/08/2016	7	14:53:00	15:48:00
02/22/2016	0	07:30:00	08:30:00
02/22/2016	1	08:40:00	09:26:00
02/22/2016	2	09:33:00	10:19:00
02/22/2016	3	10:41:00	11:27:00
02/22/2016	4	11:34:00	12:25:00
02/22/2016	5	13:07:00	13:53:00
02/22/2016	6	14:00:00	14:46:00
02/22/2016	7	14:53:00	15:48:00
02/29/2016	0	07:30:00	08:30:00
02/29/2016	1	08:40:00	09:26:00
02/29/2016	2	09:33:00	10:19:00
02/29/2016	3	10:41:00	11:27:00
02/29/2016	4	11:34:00	12:25:00
02/29/2016	5	13:07:00	13:53:00
02/29/2016	6	14:00:00	14:46:00
02/29/2016	7	14:53:00	15:48:00
03/07/2016	0	07:30:00	08:30:00
03/07/2016	1	08:40:00	09:26:00
03/07/2016	2	09:33:00	10:19:00
03/07/2016	3	10:41:00	11:27:00
03/07/2016	4	11:34:00	12:25:00
03/07/2016	5	13:07:00	13:53:00
03/07/2016	6	14:00:00	14:46:00
03/07/2016	7	14:53:00	15:48:00
03/14/2016	0	07:30:00	08:30:00
03/14/2016	1	08:40:00	09:26:00
03/14/2016	2	09:33:00	10:19:00
03/14/2016	3	10:41:00	11:27:00
03/14/2016	4	11:34:00	12:25:00
03/14/2016	5	13:07:00	13:53:00
03/14/2016	6	14:00:00	14:46:00
03/14/2016	7	14:53:00	15:48:00
03/21/2016	0	07:30:00	08:30:00
03/21/2016	1	08:40:00	09:26:00
03/21/2016	2	09:33:00	10:19:00
03/21/2016	3	10:41:00	11:27:00
03/21/2016	4	11:34:00	12:25:00
03/21/2016	5	13:07:00	13:53:00
03/21/2016	6	14:00:00	14:46:00
03/21/2016	7	14:53:00	15:48:00
04/04/2016	0	07:30:00	08:30:00
04/04/2016	1	08:40:00	09:26:00
04/04/2016	2	09:33:00	10:19:00
04/04/2016	3	10:41:00	11:27:00
04/04/2016	4	11:34:00	12:25:00
04/04/2016	5	13:07:00	13:53:00
04/04/2016	6	14:00:00	14:46:00
04/04/2016	7	14:53:00	15:48:00
05/09/2016	0	07:30:00	08:30:00
05/09/2016	1	08:40:00	09:26:00
05/09/2016	2	09:33:00	10:19:00
05/09/2016	3	10:41:00	11:27:00
05/09/2016	4	11:34:00	12:25:00
05/09/2016	5	13:07:00	13:53:00
05/09/2016	6	14:00:00	14:46:00
05/09/2016	7	14:53:00	15:48:00
05/16/2016	0	07:30:00	08:30:00
05/16/2016	1	08:40:00	09:26:00
05/16/2016	2	09:33:00	10:19:00
05/16/2016	3	10:41:00	11:27:00
05/16/2016	4	11:34:00	12:25:00
05/16/2016	5	13:07:00	13:53:00
05/16/2016	6	14:00:00	14:46:00
05/16/2016	7	14:53:00	15:48:00
05/23/2016	0	07:30:00	08:30:00
05/23/2016	1	08:40:00	09:26:00
05/23/2016	2	09:33:00	10:19:00
05/23/2016	3	10:41:00	11:27:00
05/23/2016	4	11:34:00	12:25:00
05/23/2016	5	13:07:00	13:53:00
05/23/2016	6	14:00:00	14:46:00
05/23/2016	7	14:53:00	15:48:00
05/31/2016	0	06:28:00	07:33:00
05/31/2016	1	07:40:00	09:43:00
05/31/2016	4	10:05:00	12:00:00
06/01/2016	0	06:28:00	07:33:00
06/01/2016	3	07:40:00	09:43:00
06/01/2016	5	10:05:00	12:00:00
06/02/2016	0	06:28:00	07:33:00
06/02/2016	2	07:40:00	09:43:00
06/02/2016	6	10:05:00	12:00:00
06/03/2016	0	06:28:00	07:33:00
06/03/2016	1	07:40:00	08:16:00
06/03/2016	2	08:23:00	09:02:00
06/03/2016	3	09:09:00	09:43:00
06/03/2016	4	10:05:00	10:39:00
06/03/2016	5	10:46:00	11:20:00
06/03/2016	6	11:27:00	12:01:00
